iter	Passed	Remaining
0	183	91775
1	208	52026
2	234	38928
3	262	32557
4	286	28355
5	306	25205
6	325	22932
7	352	21679
8	376	20525
9	398	19509
10	419	18631
11	439	17853
12	459	17224
13	480	16679
14	500	16166
15	519	15716
16	544	15461
17	563	15100
18	585	14829
19	605	14521
20	624	14252
21	645	14014
22	666	13824
23	696	13814
24	720	13682
25	744	13572
26	765	13407
27	793	13377
28	816	13262
29	846	13268
30	875	13251
31	898	13145
32	918	13000
33	941	12902
34	965	12821
35	983	12680
36	1006	12599
37	1026	12475
38	1046	12375
39	1066	12270
40	1087	12179
41	1107	12078
42	1125	11962
43	1147	11894
44	1170	11838
45	1191	11755
46	1211	11679
47	1237	11651
48	1257	11571
49	1279	11515
50	1297	11422
51	1321	11385
52	1341	11312
53	1360	11233
54	1379	11161
55	1399	11093
56	1419	11035
57	1439	10971
58	1459	10905
59	1478	10843
60	1498	10781
61	1519	10733
62	1539	10676
63	1561	10636
64	1582	10592
65	1604	10549
66	1623	10493
67	1640	10422
68	1658	10358
69	1680	10321
70	1701	10282
71	1722	10237
72	1741	10187
73	1763	10149
74	1782	10099
75	1799	10041
76	1819	9996
77	1839	9952
78	1857	9898
79	1876	9849
80	1895	9805
81	1915	9766
82	1937	9735
83	1957	9693
84	1976	9649
85	1996	9612
86	2015	9569
87	2038	9541
88	2059	9510
89	2080	9479
90	2100	9440
91	2120	9406
92	2141	9371
93	2158	9324
94	2179	9292
95	2198	9253
96	2218	9215
97	2237	9180
98	2256	9139
99	2278	9112
100	2295	9069
101	2315	9033
102	2334	8999
103	2356	8971
104	2376	8941
105	2396	8906
106	2413	8865
107	2433	8831
108	2451	8794
109	2470	8759
110	2490	8727
111	2509	8694
112	2530	8666
113	2551	8639
114	2571	8608
115	2591	8579
116	2610	8543
117	2629	8511
118	2649	8482
119	2667	8446
120	2688	8421
121	2709	8393
122	2728	8361
123	2747	8332
124	2769	8308
125	2792	8287
126	2810	8253
127	2828	8219
128	2849	8194
129	2868	8162
130	2889	8138
131	2910	8112
132	2928	8082
133	2948	8054
134	2972	8036
135	2992	8008
136	3011	7979
137	3030	7948
138	3050	7921
139	3067	7887
140	3089	7865
141	3108	7838
142	3130	7815
143	3152	7794
144	3173	7770
145	3191	7737
146	3210	7709
147	3228	7678
148	3248	7651
149	3268	7625
150	3288	7599
151	3309	7577
152	3328	7548
153	3349	7524
154	3369	7499
155	3391	7478
156	3410	7451
157	3428	7420
158	3448	7395
159	3467	7368
160	3488	7344
161	3508	7320
162	3528	7294
163	3548	7269
164	3566	7240
165	3587	7217
166	3606	7190
167	3625	7164
168	3646	7142
169	3666	7118
170	3686	7092
171	3705	7066
172	3726	7043
173	3745	7017
174	3765	6992
175	3789	6975
176	3808	6950
177	3828	6925
178	3852	6908
179	3872	6884
180	3893	6861
181	3913	6837
182	3929	6806
183	3948	6781
184	3968	6757
185	3991	6738
186	4012	6715
187	4031	6690
188	4051	6665
189	4068	6638
190	4088	6613
191	4107	6589
192	4127	6566
193	4147	6541
194	4166	6516
195	4187	6494
196	4205	6468
197	4222	6440
198	4243	6418
199	4262	6393
200	4280	6368
201	4300	6344
202	4320	6321
203	4341	6298
204	4359	6273
205	4385	6258
206	4406	6237
207	4426	6213
208	4444	6188
209	4463	6163
210	4483	6141
211	4504	6119
212	4526	6098
213	4545	6074
214	4565	6052
215	4584	6027
216	4607	6008
217	4631	5990
218	4653	5970
219	4671	5945
220	4690	5921
221	4709	5897
222	4729	5875
223	4751	5854
224	4773	5833
225	4792	5810
226	4811	5786
227	4829	5761
228	4849	5738
229	4867	5714
230	4888	5692
231	4907	5668
232	4927	5646
233	4949	5625
234	4967	5601
235	4985	5577
236	5002	5551
237	5020	5526
238	5040	5503
239	5061	5483
240	5080	5459
241	5097	5434
242	5115	5410
243	5135	5387
244	5152	5362
245	5174	5342
246	5192	5318
247	5211	5295
248	5231	5273
249	5250	5250
250	5270	5228
251	5290	5206
252	5310	5184
253	5329	5161
254	5350	5140
255	5370	5118
256	5390	5096
257	5411	5076
258	5435	5057
259	5456	5036
260	5478	5016
261	5498	4994
262	5519	4973
263	5538	4950
264	5559	4929
265	5580	4909
266	5599	4886
267	5618	4864
268	5637	4841
269	5656	4818
270	5678	4798
271	5697	4776
272	5715	4752
273	5734	4730
274	5755	4709
275	5777	4689
276	5795	4665
277	5812	4641
278	5833	4620
279	5854	4599
280	5877	4580
281	5894	4556
282	5912	4533
283	5933	4513
284	5953	4491
285	5972	4469
286	5999	4452
287	6018	4430
288	6038	4408
289	6059	4387
290	6077	4365
291	6094	4341
292	6114	4319
293	6133	4297
294	6155	4277
295	6174	4255
296	6195	4234
297	6214	4212
298	6233	4190
299	6253	4168
300	6272	4146
301	6292	4125
302	6311	4103
303	6331	4082
304	6353	4061
305	6373	4040
306	6393	4019
307	6412	3997
308	6432	3976
309	6451	3954
310	6471	3933
311	6492	3912
312	6511	3890
313	6531	3868
314	6552	3848
315	6572	3826
316	6593	3806
317	6614	3785
318	6635	3764
319	6654	3742
320	6673	3721
321	6696	3701
322	6714	3679
323	6733	3657
324	6753	3636
325	6773	3615
326	6793	3594
327	6816	3574
328	6835	3552
329	6855	3531
330	6874	3510
331	6892	3487
332	6913	3467
333	6933	3445
334	6952	3424
335	6971	3402
336	7013	3392
337	7035	3371
338	7054	3350
339	7074	3328
340	7094	3307
341	7112	3285
342	7131	3264
343	7149	3242
344	7169	3221
345	7190	3200
346	7210	3179
347	7230	3158
348	7252	3137
349	7271	3116
350	7290	3094
351	7310	3073
352	7329	3052
353	7350	3031
354	7369	3009
355	7387	2988
356	7408	2967
357	7425	2945
358	7445	2924
359	7464	2902
360	7484	2881
361	7504	2860
362	7523	2839
363	7544	2818
364	7583	2804
365	7604	2784
366	7629	2764
367	7653	2745
368	7677	2725
369	7698	2704
370	7724	2685
371	7750	2666
372	7772	2646
373	7795	2626
374	7817	2605
375	7839	2585
376	7863	2565
377	7886	2545
378	7909	2525
379	7932	2505
380	7955	2484
381	7978	2464
382	8001	2444
383	8024	2424
384	8043	2402
385	8067	2382
386	8089	2361
387	8111	2341
388	8136	2321
389	8159	2301
390	8183	2281
391	8204	2260
392	8240	2243
393	8267	2224
394	8293	2204
395	8316	2184
396	8339	2163
397	8362	2143
398	8387	2123
399	8410	2102
400	8434	2082
401	8457	2061
402	8483	2041
403	8508	2021
404	8532	2001
405	8551	1979
406	8576	1959
407	8597	1938
408	8619	1917
409	8640	1896
410	8663	1876
411	8689	1856
412	8715	1835
413	8735	1814
414	8759	1794
415	8782	1773
416	8813	1754
417	8838	1733
418	8861	1713
419	8884	1692
420	8910	1672
421	8931	1650
422	8955	1630
423	8977	1609
424	9000	1588
425	9022	1567
426	9042	1545
427	9061	1524
428	9080	1502
429	9100	1481
430	9122	1460
431	9142	1439
432	9162	1417
433	9181	1396
434	9201	1374
435	9220	1353
436	9240	1332
437	9258	1310
438	9279	1289
439	9301	1268
440	9322	1247
441	9343	1226
442	9362	1204
443	9382	1183
444	9402	1162
445	9423	1140
446	9441	1119
447	9461	1098
448	9479	1076
449	9497	1055
450	9517	1034
451	9536	1012
452	9554	991
453	9577	970
454	9601	949
455	9624	928
456	9643	907
457	9663	886
458	9680	864
459	9698	843
460	9719	822
461	9741	801
462	9762	780
463	9781	758
464	9801	737
465	9820	716
466	9841	695
467	9860	674
468	9881	653
469	9904	632
470	9925	611
471	9945	589
